Date,Open,High,Low,Close,Adj Close,Volume
2022-11-15,17.287100,17.333300,17.115801,17.287100,17.287100,0
2022-11-16,17.290501,17.409100,17.134100,17.290501,17.290501,0
2022-11-17,17.234699,17.552200,17.189501,17.234699,17.234699,0
2022-11-18,17.311899,17.411800,17.216890,17.311899,17.311899,0
2022-11-21,17.195150,17.459299,17.195000,17.195150,17.195150,0
2022-11-22,17.324100,17.352100,17.237101,17.324100,17.324100,0
2022-11-23,17.246500,17.265800,16.980829,17.246500,17.246500,0
2022-11-24,16.968800,17.046600,16.873600,16.968800,16.968800,0
2022-11-25,17.000589,17.178770,16.923500,17.000589,17.000589,0
2022-11-28,17.097601,17.182699,17.059401,17.076300,17.076300,0
2022-11-29,17.127001,17.184441,16.931210,17.127001,17.127001,0
2022-11-30,16.968050,17.033131,16.894951,16.968050,16.968050,0
2022-12-01,17.109699,17.954500,16.938999,17.109699,17.109699,0
2022-12-02,17.524830,17.624001,17.072001,17.524830,17.524830,0
2022-12-05,17.289801,17.466490,17.149290,17.289801,17.289801,0
2022-12-06,17.443291,17.495029,17.258900,17.443291,17.443291,0
2022-12-07,17.315300,17.406700,17.062250,17.315300,17.315300,0
2022-12-08,17.152590,17.226139,17.087799,17.152590,17.152590,0
2022-12-09,17.157101,17.380899,17.045980,17.157101,17.157101,0
2022-12-12,17.320900,17.635599,17.237400,17.320900,17.320900,0
2022-12-13,17.565500,17.749840,17.212900,17.565500,17.565500,0
2022-12-14,17.233700,17.338600,17.063299,17.233700,17.233700,0
2022-12-15,17.173599,17.378120,17.139999,17.357821,17.357821,0
