Date,Open,High,Low,Close,Adj Close,Volume
2022-11-25,60.330002,60.915001,60.329899,60.330002,60.330002,0
2022-11-28,60.035000,61.439999,60.035000,60.465000,60.465000,0
2022-11-29,60.965000,61.514999,60.779999,61.814999,61.814999,0
2022-11-30,60.810001,61.215000,60.443501,60.810001,60.810001,0
2022-12-01,60.990002,61.689999,60.514999,60.990002,60.990002,0
2022-12-02,61.180000,62.715000,61.180000,61.180000,61.180000,0
2022-12-05,60.514999,62.814999,60.514900,60.514999,60.514999,0
2022-12-06,60.514999,63.414501,60.514999,60.514999,60.514999,0
2022-12-07,60.514999,63.279999,60.514999,60.514999,60.514999,0
2022-12-08,61.965000,62.980099,61.965000,63.464901,63.464901,0
2022-12-09,62.035000,62.779999,62.035000,63.365002,63.365002,0
2022-12-12,62.480000,63.249500,62.380001,62.480000,62.480000,0
2022-12-13,62.625000,63.508499,62.625000,62.625000,62.625000,0
2022-12-14,63.180000,64.964996,62.980000,63.180000,63.180000,0
2022-12-15,64.714996,65.232498,63.779900,64.714996,64.714996,0
2022-12-16,64.614998,65.364998,64.447998,64.614998,64.614998,0
2022-12-19,64.839996,69.040001,64.230003,64.839996,64.839996,0
2022-12-20,69.714996,71.214996,67.179901,69.714996,69.714996,0
2022-12-21,69.500000,72.565002,68.830002,69.250000,69.250000,0
2022-12-22,71.339996,72.684502,68.514999,73.214996,73.214996,0
2022-12-23,68.214996,70.264999,67.480003,68.214996,68.214996,0
