Date,Open,High,Low,Close,Adj Close,Volume
2022-11-25,0.676560,0.678200,0.672140,0.676560,0.676560,0
2022-11-28,0.671191,0.672400,0.666630,0.671191,0.671191,0
2022-11-29,0.665199,0.674860,0.664090,0.665199,0.665199,0
2022-11-30,0.668409,0.674018,0.667570,0.668409,0.668409,0
2022-12-01,0.679960,0.684100,0.679170,0.679960,0.679960,0
2022-12-02,0.681102,0.683490,0.674690,0.681102,0.681102,0
2022-12-05,0.681301,0.685050,0.671000,0.681301,0.681301,0
2022-12-06,0.670781,0.674370,0.669050,0.670781,0.670781,0
2022-12-07,0.669882,0.673700,0.666950,0.669882,0.669882,0
2022-12-08,0.672700,0.678104,0.670040,0.672700,0.672700,0
2022-12-09,0.677650,0.681500,0.675040,0.677650,0.677650,0
2022-12-12,0.678141,0.679330,0.673011,0.678141,0.678141,0
2022-12-13,0.675400,0.689300,0.674118,0.675400,0.675400,0
2022-12-14,0.684230,0.687460,0.682200,0.684230,0.684230,0
2022-12-15,0.685780,0.687010,0.669851,0.685780,0.685780,0
2022-12-16,0.670592,0.673700,0.667670,0.670592,0.670592,0
2022-12-19,0.668749,0.673500,0.668650,0.668749,0.668749,0
2022-12-20,0.670781,0.673990,0.663000,0.670781,0.670781,0
2022-12-21,0.668850,0.672760,0.665710,0.668850,0.668850,0
2022-12-22,0.671682,0.676800,0.667000,0.671682,0.671682,0
2022-12-23,0.667800,0.671321,0.666138,0.667800,0.667800,0
2022-12-25,0.671456,0.672043,0.671456,0.672043,0.672043,0
