Date,Open,High,Low,Close,Adj Close,Volume
2022-11-15,144.580994,145.341995,144.294006,144.580994,144.580994,0
2022-11-16,143.929001,145.492004,143.858994,143.929001,143.929001,0
2022-11-17,144.800003,145.315994,144.466003,144.800003,144.800003,0
2022-11-18,145.481003,145.529999,144.567001,145.481003,145.481003,0
2022-11-21,144.888718,145.457001,144.339996,144.888718,144.888718,0
2022-11-22,145.574997,145.692001,144.897995,145.574997,145.574997,0
2022-11-23,145.544006,146.126999,144.643005,145.544006,145.544006,0
2022-11-24,145.065994,145.184998,143.669006,145.065994,145.065994,0
2022-11-25,144.248993,145.138000,144.128006,144.248993,144.248993,0
2022-11-28,144.389999,144.979996,143.059006,144.589996,144.589996,0
2022-11-29,143.477997,144.009995,143.024994,143.477997,143.477997,0
2022-11-30,143.235992,144.811005,143.199997,143.235992,143.235992,0
2022-12-01,143.162994,143.345993,141.942993,143.162994,143.162994,0
2022-12-02,142.283997,142.434998,140.781998,142.283997,142.283997,0
2022-12-05,141.781998,143.587006,141.764008,141.781998,141.781998,0
2022-12-06,143.432999,143.992996,143.119003,143.432999,143.432999,0
2022-12-07,143.283997,144.565994,143.169006,143.283997,143.283997,0
2022-12-08,143.373001,144.112000,143.278000,143.373001,143.373001,0
2022-12-09,144.223007,144.455994,143.190994,144.223007,144.223007,0
2022-12-12,143.839005,145.063004,143.729996,143.839005,143.839005,0
2022-12-13,144.949997,145.332001,143.602997,144.944000,144.944000,0
2022-12-14,144.067993,144.240005,143.544998,144.067993,144.067993,0
2022-12-15,144.645004,146.382996,144.270004,146.276001,146.276001,0
