Date,Open,High,Low,Close,Adj Close,Volume
2022-11-25,0.625970,0.627731,0.621980,0.625970,0.625970,0
2022-11-28,0.621670,0.624442,0.619272,0.621670,0.621670,0
2022-11-29,0.616401,0.625320,0.616299,0.616401,0.616401,0
2022-11-30,0.619690,0.624922,0.619240,0.619690,0.619690,0
2022-12-01,0.631441,0.639959,0.630871,0.631441,0.631441,0
2022-12-02,0.636979,0.641182,0.633032,0.636979,0.636979,0
2022-12-05,0.640459,0.644500,0.630601,0.640459,0.640459,0
2022-12-06,0.632260,0.635469,0.630541,0.632260,0.632260,0
2022-12-07,0.632439,0.638362,0.631130,0.632439,0.632439,0
2022-12-08,0.635409,0.638810,0.632879,0.635409,0.635409,0
2022-12-09,0.637861,0.642640,0.636809,0.637861,0.637861,0
2022-12-12,0.639321,0.642219,0.636740,0.639321,0.639321,0
2022-12-13,0.638782,0.651309,0.637519,0.638782,0.638782,0
2022-12-14,0.645390,0.646199,0.643368,0.645390,0.645390,0
2022-12-15,0.645390,0.646442,0.634031,0.645390,0.645390,0
2022-12-16,0.634300,0.638680,0.634268,0.634300,0.634300,0
2022-12-19,0.637150,0.640911,0.634401,0.637150,0.637150,0
2022-12-20,0.636161,0.639198,0.630239,0.636161,0.636161,0
2022-12-21,0.634429,0.634751,0.627912,0.634429,0.634429,0
2022-12-22,0.628951,0.633100,0.624590,0.628951,0.628951,0
2022-12-23,0.625199,0.630481,0.623461,0.625199,0.625199,0
2022-12-25,0.629406,0.629406,0.629406,0.629406,0.629406,0
