Date,Open,High,Low,Close,Adj Close,Volume
2022-11-25,10.819850,10.854820,10.805740,10.819850,10.819850,0
2022-11-28,10.839090,10.900540,10.801890,10.839090,10.839090,0
2022-11-29,10.910390,10.936720,10.876420,10.910390,10.910390,0
2022-11-30,10.936790,10.982510,10.910720,10.936790,10.936790,0
2022-12-01,10.919210,10.946930,10.833800,10.919210,10.919210,0
2022-12-02,10.838340,10.914470,10.831810,10.838340,10.838340,0
2022-12-05,10.875230,10.924410,10.847110,10.875230,10.875230,0
2022-12-06,10.923400,10.936100,10.875450,10.923400,10.923400,0
2022-12-07,8.716070,10.932050,8.716070,10.893400,10.893400,0
2022-12-08,10.905710,10.933960,10.867540,10.905710,10.905710,0
2022-12-09,10.898030,10.924620,10.841850,10.898030,10.898030,0
2022-12-12,10.857200,10.913430,10.858870,10.841700,10.841700,0
2022-12-13,10.882100,10.900170,10.827790,10.882100,10.882100,0
2022-12-14,10.852230,10.882150,10.819900,10.852230,10.852230,0
2022-12-15,10.850460,10.989140,10.815180,10.850460,10.850460,0
2022-12-16,11.000100,11.035400,10.964790,11.000100,11.000100,0
2022-12-19,10.986800,11.061910,10.967080,11.015900,11.015900,0
2022-12-20,11.007660,11.091830,10.986220,11.007660,11.007660,0
2022-12-21,11.043110,11.084510,11.032570,11.043110,11.043110,0
2022-12-22,11.047620,11.093440,11.002390,11.047620,11.047620,0
2022-12-23,11.089120,11.185420,11.072110,11.089120,11.089120,0
2022-12-25,11.181800,11.181800,11.181800,11.181800,11.181800,0
