Date,Open,High,Low,Close,Adj Close,Volume
2022-11-15,0.878020,0.880310,0.871110,0.878020,0.878020,0
2022-11-16,0.871800,0.877430,0.871190,0.871800,0.871800,0
2022-11-17,0.872210,0.877160,0.869570,0.872210,0.872210,0
2022-11-18,0.873330,0.873610,0.868290,0.873330,0.873330,0
2022-11-21,0.869080,0.869650,0.865920,0.869080,0.869080,0
2022-11-22,0.866170,0.868030,0.863250,0.866170,0.866170,0
2022-11-23,0.866810,0.869810,0.858660,0.866810,0.866810,0
2022-11-24,0.862620,0.863460,0.857310,0.862620,0.862620,0
2022-11-25,0.859170,0.861440,0.857830,0.859170,0.859170,0
2022-11-28,0.859970,0.867380,0.858500,0.859970,0.859970,0
2022-11-29,0.864790,0.865130,0.860730,0.864790,0.864790,0
2022-11-30,0.864110,0.866000,0.862120,0.864110,0.864110,0
2022-12-01,0.863020,0.864090,0.854830,0.863020,0.863020,0
2022-12-02,0.858750,0.860770,0.855630,0.858750,0.858750,0
2022-12-05,0.857370,0.863110,0.856430,0.857370,0.857370,0
2022-12-06,0.860870,0.863110,0.858210,0.860870,0.860870,0
2022-12-07,0.862600,0.864270,0.860980,0.862600,0.862600,0
2022-12-08,0.860720,0.864460,0.860600,0.860720,0.860720,0
2022-12-09,0.862770,0.863700,0.856290,0.862770,0.862770,0
2022-12-12,0.859650,0.861180,0.858250,0.859000,0.859000,0
2022-12-13,0.859090,0.860440,0.855950,0.858990,0.858990,0
2022-12-14,0.860000,0.861470,0.857790,0.860000,0.860000,0
2022-12-15,0.859180,0.870030,0.858860,0.869300,0.869300,0
